n v h phiu phix su sx phiu0 phix0 su0 sx0 hstar a1 a2
40 15 2 0.9 0.9 1 1 0.9 0.9 1 1 2 2 2
40 15 2 0.9 0.9 1 1 0.9 0.9 1 1 5 2 2
40 15 2 0.9 0.9 1 1 0.9 0.9 1 1 10 2 2
40 15 2 0.8 0.8 1 1 0.8 0.8 1 1 2 2 2
40 15 2 0.99 0.99 1 1 0.99 0.99 1 1 2 2 2
40 15 2 0.9 0.9 2 2 0.9 0.9 2 2 2 2 2
40 15 2 0.9 0.9 5 5 0.9 0.9 5 5 2 2 2
40 15 2 0.9 0.9 0.5 0.5 0.9 0.9 0.5 0.5 2 2 2
40 15 2 0.9 0.9 2.6 2.6 0.9 0.9 2.6 2.6 2 2 2
40 15 2 0.9 0.9 1 1 0.9 0.9 1 1 10 5 5
40 15 2 0.9 0.9 1 1 0.9 0.9 1 1 10 10 10
40 15 2 0.9 0.9 1 1 0.8 0.8 1 1 10 2 2
40 15 2 0.9 0.9 1 1 0.99 0.99 1 1 10 2 2
40 15 2 0.9 0.9 1 1 0.8 0.8 0.5 0.5 10 2 2
40 15 2 0.9 0.9 1 1 0.99 0.99 0.5 0.5 10 2 2
40 15 2 0.9 0.9 1 1 0.8 0.8 5 5 10 2 2
40 15 2 0.9 0.9 1 1 0.99 0.99 5 5 10 2 2
